时间(s)	加速度(m/s^2)
0.0000	-1.48640937e-11
0.0100	-1.72831243e-10
0.0200	-2.99067728e-10
0.0300	-1.76747344e-10
0.0400	-3.97096195e-11
0.0500	1.47612352e-10
0.0600	2.76143222e-10
0.0700	2.90358063e-10
0.0800	1.94133445e-10
0.0900	-3.55388520e-11
0.1000	-2.01981583e-10
0.1100	-3.19948314e-10
0.1200	-2.53551277e-10
0.1300	-1.00093572e-10
0.1400	8.83930192e-11
0.1500	2.86053843e-10
0.1600	2.15504306e-10
0.1700	1.14015272e-10
0.1800	-1.43521509e-10
0.1900	-3.74135492e-10
0.2000	-4.27828236e-10
0.2100	-4.14947380e-10
0.2200	-1.97224676e-10
0.2300	-1.28776703e-11
0.2400	1.11744399e-10
0.2500	1.10683973e-10
0.2600	-3.11408505e-11
0.2700	-1.76846202e-10
0.2800	-3.25305478e-10
0.2900	-2.74125455e-10
0.3000	-1.36614924e-10
0.3100	7.88177235e-11
0.3200	3.12371793e-10
0.3300	3.07760686e-10
0.3400	2.75077958e-10
0.3500	2.23413298e-11
0.3600	-2.03277256e-10
0.3700	-2.76356848e-10
0.3800	-2.66194591e-10
0.3900	-2.41443262e-11
0.4000	2.11869850e-10
0.4100	4.37924480e-10
0.4200	4.99598870e-10
0.4300	3.90570702e-10
0.4400	1.87174026e-10
0.4500	-7.81519825e-11
0.4600	-1.94674581e-10
0.4700	-2.52458990e-10
0.4800	-1.13473558e-10
0.4900	6.57602517e-11
0.5000	1.81726330e-10
0.5100	2.83729166e-10
0.5200	2.16279012e-10
0.5300	1.52153133e-10
0.5400	1.04279266e-10
0.5500	9.72931479e-11
0.5600	1.93889325e-10
0.5700	2.60324839e-10
0.5800	2.80801250e-10
0.5900	1.68367154e-10
0.6000	-7.20548372e-11
0.6100	-3.39462370e-10
0.6200	-6.23224777e-10
0.6300	-6.61255768e-10
0.6400	-6.11075481e-10
0.6500	-3.20717869e-10
0.6600	1.23379334e-11
0.6700	1.94165665e-10
0.6800	3.42306511e-10
0.6900	1.50431784e-10
0.7000	-4.57820023e-11
0.7100	-2.60653741e-10
0.7200	-3.72821244e-10
0.7300	-2.47485200e-10
0.7400	-5.66224364e-11
0.7500	2.26573434e-10
0.7600	3.37995484e-10
0.7700	2.96048050e-10
0.7800	3.60268559e-11
0.7900	-3.45859087e-10
0.8000	-5.79983728e-10
0.8100	-7.66085945e-10
0.8200	-4.95438496e-10
0.8300	-1.55285663e-10
0.8400	2.88078625e-10
0.8500	6.85840835e-10
0.8600	6.26768670e-10
0.8700	4.80428964e-10
0.8800	8.85916297e-13
0.8900	-3.82425476e-10
0.9000	-5.61952186e-10
0.9100	-4.69037273e-10
0.9200	-2.07637209e-11
0.9300	4.55379928e-10
0.9400	9.54588485e-10
0.9500	1.01649944e-09
0.9600	8.53514478e-10
0.9700	3.29864015e-10
0.9800	-2.99347082e-10
0.9900	-5.71245217e-10
1.0000	-7.97528931e-10
1.0100	-2.95922610e-10
1.0200	2.07202207e-10
1.0300	7.22221915e-10
1.0400	1.07427824e-09
1.0500	8.69542988e-10
1.0600	5.21445793e-10
1.0700	-1.05410743e-10
1.0800	-5.23115662e-10
1.0900	-6.88095711e-10
1.1000	-5.05726345e-10
1.1100	-5.70557604e-11
1.1200	2.92868188e-10
1.1300	5.96161779e-10
1.1400	4.07855416e-10
1.1500	9.07966827e-11
1.1600	-3.01523812e-10
1.1700	-6.91169002e-10
1.1800	-5.34030543e-10
1.1900	-3.44640535e-10
1.2000	5.66882199e-11
1.2100	3.30163155e-10
1.2200	2.10241721e-10
1.2300	-6.71207282e-11
1.2400	-6.26219731e-10
1.2500	-9.85372691e-10
1.2600	-1.12058608e-09
1.2700	-8.47465670e-10
1.2800	-2.84559982e-10
1.2900	2.06385653e-10
1.3000	6.66213426e-10
1.3100	5.39109837e-10
1.3200	2.75510581e-10
1.3300	-1.71677002e-10
1.3400	-6.11373411e-10
1.3500	-4.77881436e-10
1.3600	-2.90215133e-10
1.3700	2.02181761e-10
1.3800	5.68516330e-10
1.3900	5.83677281e-10
1.4000	4.07532972e-10
1.4100	-8.42650131e-11
1.4200	-4.15926457e-10
1.4300	-5.81292263e-10
1.4400	-3.64718962e-10
1.4500	1.02501876e-10
1.4600	5.13054695e-10
1.4700	9.01238557e-10
1.4800	7.59146990e-10
1.4900	5.08589993e-10
1.5000	7.94495084e-11
1.5100	-3.36702885e-10
1.5200	-3.57803597e-10
1.5300	-3.44948430e-10
1.5400	-1.66086746e-10
1.5500	-7.21966859e-11
1.5600	-1.93568074e-10
1.5700	-3.35498772e-10
1.5800	-5.08757942e-10
1.5900	-4.13148622e-10
1.6000	-5.86289052e-11
1.6100	4.72160258e-10
1.6200	1.10977939e-09
1.6300	1.30970199e-09
1.6400	1.35250277e-09
1.6500	7.80241402e-10
1.6600	9.86356544e-11
1.6700	-4.37888806e-10
1.6800	-9.15294753e-10
1.6900	-7.38194827e-10
1.7000	-5.23076044e-10
1.7100	-1.44476173e-10
1.7200	1.23510608e-10
1.7300	1.35704617e-10
1.7400	1.13086549e-10
1.7500	4.14150993e-11
1.7600	1.45632356e-10
1.7700	4.06893100e-10
1.7800	6.15784353e-10
1.7900	7.95410302e-10
1.8000	4.81362430e-10
1.8100	6.87056555e-12
1.8200	-6.25731638e-10
1.8300	-1.28239411e-09
1.8400	-1.12910835e-09
1.8500	-8.92865243e-10
1.8600	-9.76058507e-12
1.8700	7.57888482e-10
1.8800	1.08470711e-09
1.8900	1.05224057e-09
1.9000	2.58934839e-10
1.9100	-5.55843155e-10
1.9200	-1.39862844e-09
1.9300	-1.64072785e-09
1.9400	-1.38570790e-09
1.9500	-7.03004440e-10
1.9600	1.99650548e-10
1.9700	5.90422440e-10
1.9800	8.31374889e-10
1.9900	3.06142671e-10
2.0000	-3.16900356e-10
2.0100	-7.15773990e-10
2.0200	-1.01396378e-09
2.0300	-5.23463498e-10
2.0400	1.21470456e-11
2.0500	7.01884302e-10
2.0600	1.15029182e-09
2.0700	1.12944706e-09
2.0800	8.61881179e-10
2.0900	2.96193935e-10
2.1000	-1.05903576e-10
2.1100	-3.82582290e-10
2.1200	-3.08881433e-10
2.1300	-6.97235557e-11
2.1400	1.45003953e-10
2.1500	3.53333031e-10
2.1600	2.15457390e-10
2.1700	4.08508397e-11
2.1800	-1.68487470e-10
2.1900	-3.31118924e-10
2.2000	-1.86819619e-10
2.2100	-1.12932019e-11
2.2200	2.60316639e-10
2.2300	4.07329004e-10
2.2400	3.31377465e-10
2.2500	1.32498085e-10
2.2600	-2.04060477e-10
2.2700	-3.43936126e-10
2.2800	-3.44230354e-10
2.2900	2.22970974e-11
2.3000	5.47450139e-10
2.3100	9.55371464e-10
2.3200	1.33602960e-09
2.3300	9.54322606e-10
2.3400	4.93350573e-10
2.3500	-4.01915838e-10
2.3600	-1.20009865e-09
2.3700	-1.45218624e-09
2.3800	-1.45160088e-09
2.3900	-7.47140885e-10
2.4000	-5.95198080e-11
2.4100	6.00317057e-10
2.4200	7.89441186e-10
2.4300	4.89748242e-10
2.4400	-4.27478289e-11
2.4500	-7.28020952e-10
2.4600	-8.25598922e-10
2.4700	-6.91191965e-10
2.4800	5.82006590e-12
2.4900	8.17910407e-10
2.5000	9.23355938e-10
2.5100	9.22580638e-10
2.5200	-1.41897034e-10
2.5300	-1.12464999e-09
2.5400	-1.70785986e-09
2.5500	-1.80490565e-09
2.5600	-6.70335778e-10
2.5700	5.95525382e-10
2.5800	2.06144945e-09
2.5900	2.54310666e-09
2.6000	2.07695134e-09
2.6100	6.48198369e-10
2.6200	-1.36394712e-09
2.6300	-2.44078426e-09
2.6400	-3.18186968e-09
2.6500	-1.89518034e-09
2.6600	-2.47997714e-10
2.6700	1.36671895e-09
2.6800	2.79683141e-09
2.6900	1.98113875e-09
2.7000	9.62357519e-10
2.7100	-9.29704518e-10
2.7200	-2.20842853e-09
2.7300	-2.06880835e-09
2.7400	-1.06873381e-09
2.7500	1.14379915e-09
2.7600	2.74117754e-09
2.7700	3.78931078e-09
2.7800	3.02818601e-09
2.7900	1.25600528e-09
2.8000	-8.18169847e-10
2.8100	-2.99049316e-09
2.8200	-3.03600341e-09
2.8300	-2.75786821e-09
2.8400	-9.11005923e-10
2.8500	8.38795535e-10
2.8600	1.36720192e-09
2.8700	1.51674687e-09
2.8800	2.19730010e-10
2.8900	-8.72832569e-10
2.9000	-1.53243314e-09
2.9100	-1.32339351e-09
2.9200	1.86550732e-11
2.9300	1.43910072e-09
2.9400	2.92442669e-09
2.9500	3.01229298e-09
2.9600	2.38146571e-09
2.9700	5.89589409e-10
2.9800	-1.54210612e-09
2.9900	-2.75266143e-09
3.0000	-3.84562437e-09
3.0100	-2.78114692e-09
3.0200	-1.62811856e-09
3.0300	2.18558655e-10
3.0400	1.81078402e-09
3.0500	2.53363223e-09
3.0600	2.71255949e-09
3.0700	1.83386269e-09
3.0800	6.93873559e-10
3.0900	-7.61843818e-10
3.1000	-1.73573851e-09
3.1100	-2.34023582e-09
3.1200	-1.91800660e-09
3.1300	-1.01093430e-09
3.1400	4.50148300e-10
3.1500	2.05632884e-09
3.1600	2.73328149e-09
3.1700	3.27934489e-09
3.1800	2.05248451e-09
